Floss#,Description                     ,Red,Green,Blue,Hex
433   ,Brown Medium                    ,122,69   ,31  ,7A451F
801   ,Coffee Brown Dark               ,101,57   ,25  ,653919
898   ,Coffee Brown Very Dark          ,73 ,42   ,19  ,492A13
938   ,Coffee Brown Ultra Dark         ,54 ,31   ,14  ,361F0E
3371  ,Black Brown                     ,30 ,17   ,8   ,1E1108
543   ,Beige Brown Ultra Very Light    ,242,227  ,206 ,F2E3CE
3864  ,Mocha Beige Light               ,203,182  ,156 ,CBB69C
3863  ,Mocha Beige Medium              ,164,131  ,92  ,A4835C
3862  ,Mocha Beige Dark                ,138,110  ,78  ,8A6E4E
3031  ,Mocha Brown Very Dark           ,75 ,60   ,42  ,4B3C2A
B5200 ,Snow White                      ,255,255  ,255 ,FFFFFF
White ,White                           ,252,251  ,248 ,FCFBF8
3865  ,Winter White                    ,249,247  ,241 ,F9F7F1
Ecru  ,Ecru                            ,240,234  ,218 ,F0EADA
822   ,Beige Gray Light                ,231,226  ,211 ,E7E2D3
644   ,Beige Gray Medium               ,221,216  ,203 ,DDD8CB
642   ,Beige Gray Dark                 ,164,152  ,120 ,A49878
640   ,Beige Gray Very Dark            ,133,123  ,97  ,857B61
3787  ,Brown Gray Dark                 ,98 ,93   ,80  ,625D50
3021  ,Brown Gray Very Dark            ,79 ,75   ,65  ,4F4B41
3024  ,Brown Gray Very Light           ,235,234  ,231 ,EBEAE7
3023  ,Brown Gray Light                ,177,170  ,151 ,B1AA97
3022  ,Brown Gray Medium               ,142,144  ,120 ,8E9078
535   ,Ash Gray Very Light             ,99 ,100  ,88  ,636458
3033  ,Mocha Brown Very Light          ,227,216  ,204 ,E3D8CC
3782  ,Mocha Brown Light               ,210,188  ,166 ,D2BCA6
3032  ,Mocha Brown Medium              ,179,159  ,139 ,B39F8B
3790  ,Beige Gray Ultra Dark           ,127,106  ,85  ,7F6A55
3781  ,Mocha Brown Dark                ,107,87   ,67  ,6B5743
3866  ,Mocha Brown Ultra Very Light    ,250,246  ,240 ,FAF6F0
842   ,Beige Brown Very Light          ,209,186  ,161 ,D1BAA1
841   ,Beige Brown Light               ,182,155  ,126 ,B69B7E
840   ,Beige Brown Medium              ,154,124  ,92  ,9A7C5C
839   ,Beige Brown Dark                ,103,85   ,65  ,675541
838   ,Beige Brown Very Dark           ,89 ,73   ,55  ,594937
3072  ,Beaver Gray Very Light          ,230,232  ,232 ,E6E8E8
648   ,Beaver Gray Light               ,188,180  ,172 ,BCB4AC
647   ,Beaver Gray Medium              ,176,166  ,156 ,B0A69C
646   ,Beaver Gray Dark                ,135,125  ,115 ,877D73
645   ,Beaver Gray Very Dark           ,110,101  ,92  ,6E655C
844   ,Beaver Gray Ultra Dark          ,72 ,72   ,72  ,484848
762   ,Pearl Gray Very Light           ,236,236  ,236 ,ECECEC
415   ,Pearl Gray                      ,211,211  ,214 ,D3D3D6
318   ,Steel Gray Light                ,171,171  ,171 ,ABABAB
414   ,Steel Gray Dark                 ,140,140  ,140 ,8C8C8C
168   ,Pewter Very Light               ,209,209  ,209 ,D1D1D1
169   ,Pewter Light                    ,132,132  ,132 ,848484
317   ,Pewter Gray                     ,108,108  ,108 ,6C6C6C
413   ,Pewter Gray Dark                ,86 ,86   ,86  ,565656
3799  ,Pewter Gray Very Dark           ,66 ,66   ,66  ,424242
310   ,Black                           ,0  ,0    ,0   ,0
